OID,OBJECTID,STATE_NAME,STATE_FIPS,SUB_REGION,STATE_ABBR,POP2000,POP00_SQMI,HSE_UNITS_,VACANT_00,OWNER_OCC_,RENTER_OCC,POP_2010,POP10_SQMI,POP_CHANGE,REGION10,DIVISION10,STATEFP10,STATENS10,GEOID10,STUSPS10,NAME10,LSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_29,AGE_30_34,AGE_35_39,AGE_40_44,AGE_45_49,AGE_50_54,AGE_55_59,AGE_60_64,AGE_65_69,AGE_70_74,AGE_75_79,AGE_80_84,AGE_85_89,AGE_90_UP,AGE_UNDER1,AGE_18_64,AGE_65_UP,MED_AGE,MED_AGE_M,MED_AGE_F,WHITE,BLACK,AMERI_ES,ASIAN,HAW_PI,OTHER,HISPANIC,HSE_UNITS,VACANT,OCCUPIED,OWNER_OCC,RENTER_O_1,Shape_Leng,Shape_Area,HSE_UNITS1,VACANT_CHA,OWN_OCC_CH,RENT_OCC_C
0,8,Florida,12,South Atlantic,FL,15982378,243.1,7302947,965018,4441799,1896130,18801310,287.7000122,2818932,3,5,12,00294478,12,FL,Florida,00,G4000,A,1.38887E+11,31424168203,+28.4574302,-082.4091478,9189355,9611955,1073506,1080255,1130847,1228382,1228758,1179227,1110318,1178467,1252787,1401202,1340291,1202418,1135250,959233,768707,615514,482023,290882,143243,4002091,11539617,3259602,40.7,39.4,42.1,14109162,2999862,71458,454821,12286,681144,4223806,8989580,1568778,7420802,4998979,2421823,182.1577765,13.55731828,1686633,603760,557180,525693
1,13,Texas,48,West South Central,TX,20851820,77.6,8157575,764221,4716959,2676395,25145561,94.09999847,4293741,3,7,48,01779801,48,TX,Texas,00,G4000,A,6.76587E+11,19074619314,+31.4347032,-099.2818238,12472280,12673281,1928473,1928234,1881883,1883124,1817079,1853039,1760434,1763587,1694795,1760467,1674869,1422924,1174767,853100,619156,477245,347206,205501,99678,6865824,15677851,2601886,33.6,32.6,34.6,17701552,2979598,170972,964596,21656,2628186,9460921,9977436,1054503,8922933,5685353,3237580,121.0655653,65.14747183,1819861,290282,968394,561185
2,15,North Carolina,37,South Atlantic,NC,8049313,151.9,3523944,391931,2172355,959658,9535483,180.3000031,1486170,3,5,37,01027616,37,NC,North Carolina,00,G4000,A,1.2592E+11,13471186331,+35.5397100,-079.1308636,4645492,4889991,632040,635945,631104,659591,661573,627036,619557,659843,667308,698753,669893,600722,538039,403024,294543,223655,165396,98865,48596,2281635,6019769,1234079,37.4,36,38.7,6528950,2048628,122110,208962,6604,414030,800120,4327528,582373,3745155,2497900,1247255,95.44924228,12.7022773,803584,190442,325545,287597
3,19,New York,36,Middle Atlantic,NY,18976457,366.7,7679307,622447,3739166,3317694,19378102,377.6000061,401645,1,2,36,01779796,36,NY,New York,00,G4000,A,1.22057E+11,19239924100,+42.9133974,-075.5962723,9377147,10000955,1155822,1163955,1211456,1366278,1410935,1380177,1279160,1254124,1355893,1458763,1419928,1237408,1066260,773211,587391,474807,391660,252527,138347,4324929,12435230,2617943,38,36.3,39.4,12740974,3073800,106906,1420244,8766,1441563,3416922,8108103,790348,7317755,3897837,3419918,64.21947556,13.88070739,428796,167901,158671,102224
4,20,Pennsylvania,42,Middle Atlantic,PA,12281054,271.1,5249750,472747,3406337,1370666,12702379,277.5,421325,1,2,42,01779798,42,PA,Pennsylvania,00,G4000,A,1.15883E+11,3397122731,+40.9042486,-077.8280624,6190363,6512016,729538,753635,791151,905066,874146,781527,729592,764287,851382,955763,984641,879048,743296,553002,426536,362332,311761,202117,103559,2792155,7950917,1959307,40.1,38.7,41.5,10406288,1377689,26843,349088,3653,300983,719660,5567315,548411,5018904,3491722,1527182,18.07331446,12.53217393,317565,75664,85385,156516
5,29,Illinois,17,East North Central,IL,12419293,214.4,4885615,293836,3088884,1502895,12830632,226,411339,2,3,17,01779784,17,IL,Illinois,00,G4000,A,1.43793E+11,6202038080,+40.1028754,-089.1526108,6292276,6538356,835577,859405,879448,922092,878964,910273,865684,855790,870100,940094,930785,807778,665429,485060,364475,289385,235381,152788,82124,3129179,8092240,1609213,36.6,35.2,37.9,9177877,1866414,43963,586934,4050,861412,2027578,5296715,459743,4836972,3263639,1573333,21.7659974,15.40890105,411100,165907,174755,70438
6,30,Georgia,13,South Atlantic,GA,8186453,137.7,3281737,275368,2029154,977215,9687653,168.5,1501200,3,5,13,01705317,13,GA,Georgia,00,G4000,A,1.48959E+11,4951196915,+32.6293840,-083.4232125,4729171,4958482,686785,695161,689684,709999,680080,673935,661625,698059,699481,722661,668591,573551,496006,356007,250422,182735,129048,75403,38420,2491552,6164066,1032035,35.3,34.1,36.5,5787440,2950435,32151,314467,6799,388872,853689,4088801,503217,3585584,2354402,1231182,30.59004547,14.64283972,807064,227849,325248,253967
7,35,California,06,Pacific,CA,33871648,206.7,12214549,711679,6546334,4956536,37253956,231.8000031,3382308,4,9,06,01779778,06,CA,California,00,G4000,A,4.03466E+11,20501110720,+37.1485730,-119.5406515,18517830,18736126,2531333,2505839,2590930,2823940,2765949,2744409,2573468,2573579,2609131,2689819,2562552,2204296,1832197,1303558,971778,766971,603239,397236,203732,9295040,23712402,4246514,35.2,34,36.3,21453934,2299072,362801,4861007,144386,6317372,14013719,13680081,1102583,12577498,7035371,5542127,57.6484199,41.63928838,1465532,390904,489037,585591
8,41,Ohio,39,East North Central,OH,11353140,261.1,4783051,337278,3072522,1373251,11536504,266.8999939,183364,2,3,39,01085497,39,OH,Ohio,00,G4000,A,1.05829E+11,10269012119,+40.4149297,-082.7119975,5632156,5904348,720856,747889,774699,823682,763116,718630,691329,718462,761369,855134,887057,786857,665409,478864,371370,297519,243833,153874,76555,2730751,7183738,1622015,38.8,37.4,40,9539437,1407681,25292,192233,4066,130030,354674,5127508,524073,4603435,3111054,1492381,19.81211684,11.31825698,344457,186795,38532,119130
9,45,Michigan,26,East North Central,MI,9938444,150,4234279,448618,2793124,992537,9883640,152.5,-54804,2,3,26,01779789,26,MI,Michigan,00,G4000,A,1.46435E+11,1.04052E+11,+44.8410835,-085.6593197,4848114,5035526,596286,637784,675216,739599,669072,589583,574566,612493,665481,744581,765452,683186,568811,418625,306084,244085,200855,126935,64946,2344068,6178042,1361530,38.9,37.6,40,7803120,1400362,62007,238199,2604,147029,436358,4532233,659725,3872508,2793342,1079166,75.55495658,16.99852069,297954,211107,218,86629
