OID,OBJECTID,STATE_NAME,STATE_FIPS,SUB_REGION,STATE_ABBR,POP2000,POP00_SQMI,HSE_UNITS_,VACANT_00,OWNER_OCC_,RENTER_OCC,POP_2010,POP10_SQMI,POP_CHANGE,REGION10,DIVISION10,STATEFP10,STATENS10,GEOID10,STUSPS10,NAME10,LSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_29,AGE_30_34,AGE_35_39,AGE_40_44,AGE_45_49,AGE_50_54,AGE_55_59,AGE_60_64,AGE_65_69,AGE_70_74,AGE_75_79,AGE_80_84,AGE_85_89,AGE_90_UP,AGE_UNDER1,AGE_18_64,AGE_65_UP,MED_AGE,MED_AGE_M,MED_AGE_F,WHITE,BLACK,AMERI_ES,ASIAN,HAW_PI,OTHER,HISPANIC,HSE_UNITS,VACANT,OCCUPIED,OWNER_OCC,RENTER_O_1,Shape_Leng,Shape_Area,HSE_UNITS1,VACANT_CHA,OWN_OCC_CH,RENT_OCC_C
0,1,Washington,53,Pacific,WA,5894121,82.7,2451075,179677,1467009,804389,6724540,94.80000305,830419,4,9,53,01779804,53,WA,Washington,00,G4000,A,1.72119E+11,12541835586,+47.4162296,-120.5996231,3349707,3374833,439657,429877,438233,462128,461512,480398,453383,448607,459698,492909,495296,453078,382087,270474,186746,142068,111118,75834,41437,1581354,4315509,827677,37.3,36.2,38.3,5196362,240042,103869,481067,40475,349799,755790,2885677,265601,2620076,1673920,946156,66.2078869,20.86259807,434602,85924,206911,141767
1,2,Virginia,51,South Atlantic,VA,7078515,171.3,2904192,205019,1837939,861234,8001024,192.8000031,922509,3,5,51,01779803,51,VA,Virginia,00,G4000,A,1.02279E+11,8507698663,+37.5222512,-078.6681938,3925983,4075041,509625,511849,511246,550965,572091,564342,526077,540063,568865,621155,592845,512595,442369,320302,229502,173929,130801,81752,40651,1853677,5170410,976937,37.5,36.1,38.7,5486852,1551399,29225,439890,5980,254278,631825,3364939,308881,3056058,2055186,1000872,89.14012828,10.55833726,460747,103862,217247,139638
2,3,Delaware,10,South Atlantic,DE,783600,314.8,343072,44336,216038,82698,897934,359.1000061,114334,3,5,10,01779781,10,DE,Delaware,00,G4000,A,5046703785,1399060967,+38.9935501,-075.4473739,434939,462995,55886,56486,56848,64583,62867,57603,53814,55329,60758,67556,65998,57816,53113,41809,30644,23885,17195,10513,5231,205765,562892,129277,38.8,37.4,40.1,618617,191814,4181,28549,400,30519,73221,405885,63588,342297,246724,95573,8.891002178,0.532074373,62813,19252,30686,12875
3,4,District of Columbia,11,South Atlantic,DC,572059,8412.6,274845,26507,101214,147124,601723,8833.400391,29664,3,5,11,01702382,11,DC,District of Columbia,00,G4000,A,158114680,18884970,+38.9041485,-077.0170942,284222,317501,32613,26147,25041,39919,64110,69649,55096,42925,37734,38539,37164,34274,29703,21488,15481,11820,9705,6496,3819,100815,432099,68809,33.8,33.6,34,231471,305125,2079,21056,302,24374,54749,296719,30012,266707,112055,154652,0.939750841,0.016726392,21874,3505,10841,7528
4,5,Wisconsin,55,East North Central,WI,5363675,89.7,2321144,236600,1426361,658183,5686986,96,323311,2,3,55,01779806,55,WI,Wisconsin,00,G4000,A,1.40268E+11,29366760483,+44.6284840,-089.7119299,2822400,2864586,358443,368617,375927,399209,386552,372347,349347,345328,380338,437627,436126,385986,313825,227029,173467,141252,117061,75603,42902,1339492,3570180,777314,38.5,37.3,39.6,4902067,359148,54526,129234,1827,135867,336056,2624358,344590,2279768,1551558,728210,31.41019851,16.48355416,303214,107990,125197,70027
5,6,West Virginia,54,South Atlantic,WV,1808344,74.6,844623,108142,553699,182782,1852994,76,44650,3,5,54,01779805,54,WV,West Virginia,00,G4000,A,62258675601,496845871,+38.6472854,-080.6183274,913586,939408,104060,106016,109045,120092,117204,108444,112254,117136,120358,132924,143232,139368,125457,91728,71792,54725,43238,24523,11398,387418,1168172,297404,41.3,40.1,42.6,1739988,63124,3787,12406,428,6119,22268,881917,118086,763831,561013,202818,20.61396134,6.493816173,37294,9944,7314,20036
6,7,Hawaii,15,Pacific,HI,1211537,110.8,460542,57302,227888,175352,1360301,119.8000031,148764,4,9,15,01779782,15,HI,Hawaii,00,G4000,A,16634529975,11678494458,+19.8097670,-155.5061027,681243,679058,87407,83361,81539,85994,95829,97302,88031,86756,89617,95787,97978,93340,82222,59170,41353,34675,29702,19762,10476,303818,861345,195138,38.6,37.2,39.9,336599,21424,4164,525078,135422,16985,120842,519508,64170,455338,262682,192656,19.20317078,1.439871581,58966,6868,34794,17304
7,8,Florida,12,South Atlantic,FL,15982378,243.1,7302947,965018,4441799,1896130,18801310,287.7000122,2818932,3,5,12,00294478,12,FL,Florida,00,G4000,A,1.38887E+11,31424168203,+28.4574302,-082.4091478,9189355,9611955,1073506,1080255,1130847,1228382,1228758,1179227,1110318,1178467,1252787,1401202,1340291,1202418,1135250,959233,768707,615514,482023,290882,143243,4002091,11539617,3259602,40.7,39.4,42.1,14109162,2999862,71458,454821,12286,681144,4223806,8989580,1568778,7420802,4998979,2421823,182.1577765,13.55731828,1686633,603760,557180,525693
8,9,Wyoming,56,Mountain,WY,493782,5,223854,30246,135514,58094,563626,5.599999905,69844,4,8,56,01779807,56,WY,Wyoming,00,G4000,A,2.5147E+11,1864445306,+42.9918024,-107.5419255,287437,276189,40203,37213,35955,38142,40318,41276,36373,33861,33105,39472,44105,40946,32567,22974,16594,12492,9428,5703,2899,135402,358134,70090,36.8,36,37.7,511279,4748,13336,4426,427,17049,50231,261868,34989,226879,157077,69802,21.99858559,27.97171475,38014,4743,21563,11708
9,10,New Hampshire,33,New England,NH,1235786,132.2,547024,72418,330700,143906,1316470,142.1999969,80684,1,1,33,01779794,33,NH,New Hampshire,00,G4000,A,23187259277,1026959156,+43.6708595,-071.5811278,649394,667076,69806,77756,84620,93620,84546,73121,71351,82152,97026,113564,112397,96289,81954,57176,39586,31774,24971,16067,8694,287234,850968,178268,41.1,40.2,42,1236050,15035,3150,28407,384,12062,36704,614754,95781,518973,368316,150657,11.9258474,2.679296333,67730,23363,37616,6751
